block,median_cv_r2,frac_positive
lineage,0.012439157095314568,0.6833333333333333
burden,-0.0031468976057278386,0.2966666666666667
synonymous,-0.007661840075857462,0.24333333333333335
nonsynonymous,-0.00515746917522919,0.3333333333333333
all,-0.0027947334321317685,0.37
