regime,true_share,seed,pertdecomp,mixed_model,sec_pertdecomp,sec_lmm_per_gene,n_genes_lmm
replicated,0.1,0,0.21129738776616463,0.02846528855239429,0.14631962776184082,0.45872687339782714,25
replicated,0.1,1,0.22640650679523136,0.04590936926705967,0.11203408241271973,0.17358781814575194,25
replicated,0.3,0,0.3762639224640893,0.030099346240989977,0.10970687866210938,0.13122279167175294,25
replicated,0.3,1,0.3926428464008872,0.06076952112861581,0.1096189022064209,0.13834091186523437,25
unreplicated,0.1,0,,0.005198878879960556,0.0788412094116211,0.13317757606506347,25
unreplicated,0.1,1,,0.002929816000560921,0.07846331596374512,0.13797854423522948,25
unreplicated,0.3,0,,0.004507324214339091,0.07752537727355957,0.10775506973266602,25
unreplicated,0.3,1,,0.004692928468755424,0.07861495018005371,0.10915904045104981,25
batch-confounded,0.1,0,0.19178298676279956,0.028236451569663815,0.11991763114929199,0.16538412094116212,25
batch-confounded,0.1,1,0.20064926502994362,0.03192461066044313,0.11951756477355957,0.17032674789428712,25
batch-confounded,0.3,0,0.3618885785259731,0.34840981740719323,0.12010025978088379,0.08407417297363282,25
batch-confounded,0.3,1,0.3629893239742603,0.31908690589417515,0.1197366714477539,0.08692704200744629,25
