drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
Vandetanib,0.2296178355687652,,2,0.04,0.47841358877558987,3.1477941934975733
5-Azacytidine,0.2290569612179412,,1,0.0,0.010723194807914007,4.430198102302131
Pentagastrin,0.2287517927212435,,1,0.0,0.14866219745760254,0.472648048287351
Belinostat,0.2283161883096705,,1,0.0,0.011839532771489138,4.153222381732059
Ixazomib,0.2282926164980274,,1,0.0,0.004943497848039448,4.278076033571266
Naproxen,0.2268472757657622,,2,0.0,0.31638818919110934,3.6003058728616613
Proglumide,0.2267840936333991,,2,0.0,0.27131762313770447,0.4453883643319429
Almonertinib (mesylate),0.2265038028930771,,1,0.08,0.03938794441741245,4.73702816613291
Lidocaine (hydrochloride),0.226333996320984,,3,0.02,0.01073267072481906,4.579069974737631
Darolutamide,0.2257353579434322,,1,0.0,0.5438319965359807,3.288932643961204
ULK-101,0.2243522577313549,,2,0.0,0.10790801693009913,4.132580372870461
Berbamine,0.2227642601987577,,1,0.0,0.1784954123280333,3.8224061152865185
Fedratinib (hydrochloride hydrate),0.222744988776838,,3,0.0,0.3422464539602225,3.0156746425506484
Oxaprozin,0.2224355640287943,,3,0.0,0.21509038617795218,3.929481532917119
Olanzapine,0.2204370209967333,,13,0.0,0.364649495507447,2.215545822153707
palbociclib,0.2199225102172111,,2,0.0,0.02741121626705732,4.370362146031274
Alpelisib,0.2194409309035519,,1,0.22,0.006767660574309818,4.58731643512064
Rimonabant,0.2170768068021351,,1,0.0,1.0600828795968327,1.3366385098451334
Bimiralisib,0.2159278747915325,,3,0.09999999999999999,0.008882711130319777,4.4769419728869195
Irinotecan,0.2147458517542926,,1,0.0,0.010973134824705163,4.7410385367501195
Pitavastatin (Calcium),0.2145167970594122,,1,0.0,0.012818975997633065,4.3281645810423415
Volasertib,0.2125550864563317,,3,0.0,0.054295307906856057,4.111565944349593
Aprepitant,0.211665946462191,,1,0.0,0.19622920541689315,2.5744425095840957
Verteporfin,0.2115034270655577,,1,0.0,0.02078745489223973,4.684314198552426
Entrectinib,0.2104985699374454,,5,0.0,0.36658007894589795,2.7914508809221816
LB-100,0.2099541317966896,,2,0.0,0.009252404873379645,4.5478915265483515
Lapatinib ditosylate,0.2094016290711383,,2,0.07,0.04934680323550705,4.429522107752083
Captopril,0.2091558048751024,,1,0.0,0.6439642308836525,2.3855857249316585
Indacaterol (maleate),0.2085904424985627,,1,0.0,0.6644709429713714,2.8778780071369368
Osimertinib (mesylate),0.2055349334636645,,1,0.08,0.03938794441741245,4.73702816613291
Palmatine (chloride),0.2042744205320991,,1,0.0,0.769175403366917,2.2285580958986717
Aspirin,0.204007125432878,,2,0.0,0.31638818919110934,3.6003058728616613
LJI308,0.2017107020318782,,3,0.0,0.06146504870286392,4.286953329471549
Idarubicin (hydrochloride),0.2002443835768321,,1,0.0,0.01027853855499154,4.694148901372842
Afatinib,0.198498680494532,,2,0.07,0.04934680323550705,4.429522107752083
Daidzin,0.1979990848494821,,1,0.0,0.09536755432017469,4.053131303642095
Cepharanthine,0.1971767731471933,,3,0.0,0.21935982745088708,1.6954439195553885
Clonidine (hydrochloride),0.1959558823339842,,3,0.0,0.6725336154425188,1.3970246094813896
Adagrasib,0.1953198526167674,,1,0.48,0.014669483798447139,4.502414052618064
MK-3903,0.194684338388115,,1,0.0,0.008666267774340502,4.446426129834071
AT7519,0.1937110215525897,,8,0.0,0.03407333184813185,4.168760659380123
Malotilate,0.1931278128104616,,1,0.0,0.5799269030448649,3.083360454293495
Pioglitazone,0.1926939858504598,,1,0.0,0.12461560994659082,4.283286394124887
Celecoxib,0.1867660375570196,,1,0.0,0.2178087595470829,4.099292348684719
