kind,pearson
matched,0.9865492582321167
matched,0.9923561215400696
matched,0.9902180433273315
matched,0.9914345741271973
matched,0.9944133162498474
matched,0.9936293363571167
matched,0.9906506538391113
matched,0.9916768074035645
matched,0.9855863451957703
matched,0.9773120880126953
matched,0.9825206995010376
matched,0.9799597859382629
matched,0.9811602830886841
matched,0.9876626133918762
matched,0.9870426058769226
matched,0.9169391393661499
matched,0.98309326171875
matched,0.976658821105957
matched,0.9886151552200317
matched,0.9926345348358154
matched,0.9906450510025024
matched,0.9905070066452026
matched,0.9945476651191711
matched,0.9937372803688049
matched,0.9915462136268616
matched,0.9918634295463562
matched,0.9851491451263428
matched,0.9789071679115295
matched,0.9831019043922424
matched,0.98187255859375
matched,0.9836112856864929
matched,0.9880333542823792
matched,0.9871131777763367
matched,0.9201242327690125
matched,0.9831454753875732
matched,0.9803225994110107
matched,0.9898175001144409
matched,0.9935195446014404
matched,0.9903140068054199
matched,0.9924492239952087
matched,0.9949033260345459
matched,0.993444561958313
matched,0.9944563508033752
matched,0.9922848343849182
matched,0.9847936630249023
matched,0.98788982629776
matched,0.9922649264335632
matched,0.9901456236839294
matched,0.9911074042320251
matched,0.9943460822105408
matched,0.9934355616569519
matched,0.9826879501342773
matched,0.9920216798782349
matched,0.9864404201507568
matched,0.9859441518783569
matched,0.9900472164154053
matched,0.9885908961296082
matched,0.9894019961357117
matched,0.9926373362541199
matched,0.9915508031845093
matched,0.9905401468276978
matched,0.9907749891281128
matched,0.9806564450263977
matched,0.979333758354187
matched,0.9862267374992371
matched,0.9842668175697327
matched,0.9863854050636292
matched,0.9900505542755127
matched,0.9903164505958557
matched,0.9674556255340576
matched,0.9871553778648376
matched,0.9818909168243408
unmatched,0.9885554313659668
unmatched,0.9271577000617981
unmatched,0.9228639602661133
unmatched,0.9282150864601135
unmatched,0.9260605573654175
unmatched,0.9872708916664124
unmatched,0.8991397023200989
unmatched,0.9405415654182434
unmatched,0.9310401678085327
unmatched,0.9298847913742065
unmatched,0.9396662712097168
unmatched,0.9396489262580872
unmatched,0.9212872385978699
unmatched,0.9280298948287964
unmatched,0.8726891875267029
unmatched,0.9313373565673828
unmatched,0.944411039352417
unmatched,0.9205397963523865
unmatched,0.9320513010025024
unmatched,0.9257051348686218
unmatched,0.9269466996192932
unmatched,0.9396251440048218
unmatched,0.9210501313209534
unmatched,0.9393324255943298
unmatched,0.9291245341300964
unmatched,0.9402164220809937
unmatched,0.9323532581329346
unmatched,0.9218470454216003
unmatched,0.9488638043403625
unmatched,0.9387521147727966
unmatched,0.8833174705505371
unmatched,0.9301167726516724
unmatched,0.8639311194419861
unmatched,0.8987509608268738
unmatched,0.9182813763618469
unmatched,0.9363728761672974
unmatched,0.9305048584938049
unmatched,0.9313298463821411
unmatched,0.9809449911117554
unmatched,0.9249541759490967
unmatched,0.9274007081985474
unmatched,0.9402155876159668
unmatched,0.9253044724464417
unmatched,0.9273335337638855
unmatched,0.9362320303916931
unmatched,0.9904683828353882
unmatched,0.9365382194519043
unmatched,0.9313905239105225
unmatched,0.9070444703102112
unmatched,0.9319915175437927
unmatched,0.9420816898345947
unmatched,0.8599894046783447
unmatched,0.8938899040222168
unmatched,0.9371707439422607
unmatched,0.984242856502533
unmatched,0.9210087656974792
unmatched,0.9383745193481445
unmatched,0.9327130913734436
unmatched,0.9217002987861633
unmatched,0.8911225199699402
unmatched,0.9244035482406616
unmatched,0.9338868260383606
unmatched,0.923833429813385
unmatched,0.9296600222587585
unmatched,0.9200873970985413
unmatched,0.9896170496940613
unmatched,0.8994050025939941
unmatched,0.8915449976921082
unmatched,0.9210553765296936
unmatched,0.8618577718734741
unmatched,0.9342893958091736
unmatched,0.9312347769737244
unmatched,0.9293403625488281
unmatched,0.8978314399719238
unmatched,0.9173272252082825
unmatched,0.9201396703720093
