test,kind,r
within_line_across_drug,observed,0.04240836
within_line_across_drug,observed,0.0031212585
within_line_across_drug,observed,0.21644965
within_line_across_drug,observed,-0.025959866
within_line_across_drug,observed,0.045744438
within_line_across_drug,observed,0.096610926
within_line_across_drug,observed,0.24501747
within_line_across_drug,observed,0.007883847
within_line_across_drug,observed,0.28662744
within_line_across_drug,observed,-0.013130822
within_line_across_drug,observed,-0.008069326
within_line_across_drug,observed,-0.010755753
within_line_across_drug,observed,0.10613487
within_line_across_drug,observed,-0.027911633
within_line_across_drug,observed,0.06812909
within_line_across_drug,observed,0.2838799
within_line_across_drug,observed,0.034692544
within_line_across_drug,observed,0.30632046
within_line_across_drug,observed,0.51455957
within_line_across_drug,observed,0.17959091
within_line_across_drug,observed,0.12018261
within_line_across_drug,observed,0.09199053
within_line_across_drug,observed,-0.11845777
within_line_across_drug,observed,-0.026852613
within_line_across_drug,observed,0.31335703
within_line_across_drug,observed,0.064268045
within_line_across_drug,observed,-0.0068736
within_line_across_drug,observed,0.009920331
within_line_across_drug,observed,-0.034244247
within_line_across_drug,observed,-0.0492837
within_line_across_drug,observed,0.15611085
within_line_across_drug,observed,-0.02295052
within_line_across_drug,observed,0.021184035
within_line_across_drug,observed,0.019917432
within_line_across_drug,observed,0.08129879
within_line_across_drug,observed,0.14471504
within_line_across_drug,observed,0.027724117
within_line_across_drug,observed,0.06409781
within_line_across_drug,observed,-0.008178345
within_line_across_drug,observed,0.22921604
within_line_across_drug,observed,0.0041151326
within_line_across_drug,observed,0.29229522
within_line_across_drug,observed,0.20554723
within_line_across_drug,observed,-0.04251072
within_line_across_drug,observed,0.06708027
within_line_across_drug,observed,0.15230246
within_line_across_drug,observed,-0.07200366
within_line_across_drug,observed,-0.0048089395
within_line_across_drug,observed,-0.118521735
within_line_across_drug,observed,0.022351868
within_line_across_drug,observed,-0.0063362746
within_line_across_drug,observed,0.03843815
within_line_across_drug,observed,0.5148253
within_line_across_drug,observed,0.096164
within_line_across_drug,observed,-0.024575464
within_line_across_drug,observed,-0.06890996
within_line_across_drug,observed,0.31178597
within_line_across_drug,observed,0.40223286
within_line_across_drug,observed,0.38751793
within_line_across_drug,observed,0.010090976
within_line_across_drug,observed,0.2645086
within_line_across_drug,observed,0.028825989
within_line_across_drug,observed,-0.07250981
within_line_across_drug,observed,0.21902192
within_line_across_drug,observed,-0.06573563
within_line_across_drug,observed,0.07776358
within_line_across_drug,observed,0.35584998
within_line_across_drug,observed,0.064496346
within_line_across_drug,observed,0.0073338286
within_line_across_drug,observed,0.059719827
within_line_across_drug,observed,0.3070635
within_line_across_drug,observed,0.03766516
within_line_across_drug,observed,0.004483498
within_line_across_drug,observed,0.40821102
within_line_across_drug,observed,-0.020841986
within_line_across_drug,observed,0.088997565
within_line_across_drug,observed,0.09721698
within_line_across_drug,observed,0.008742243
within_line_across_drug,observed,-0.10916218
within_line_across_drug,observed,-0.048436932
within_line_across_drug,observed,0.09373706
within_line_across_drug,observed,0.14287922
within_line_across_drug,observed,0.025765931
within_line_across_drug,observed,0.096204475
within_line_across_drug,observed,-0.035254553
within_line_across_drug,observed,-0.036720708
within_line_across_drug,observed,-0.0113354
within_line_across_drug,observed,0.2512226
within_line_across_drug,observed,0.027827509
within_line_across_drug,observed,0.2589007
within_line_across_drug,observed,-0.027732523
within_line_across_drug,observed,-0.08425412
within_line_across_drug,observed,0.54213077
within_line_across_drug,observed,0.014839419
within_line_across_drug,observed,0.0629694
within_line_across_drug,observed,0.21596627
within_line_across_drug,observed,-0.05243904
within_line_across_drug,observed,0.09380707
within_line_across_drug,observed,-0.059382133
within_line_across_drug,observed,0.31904083
within_line_across_drug,observed,-0.015223322
within_line_across_drug,observed,0.20618682
within_line_across_drug,observed,0.010399191
