gene,component,n_mut,n_wt,effect,p,q
ADAMTS20,C5,405,8287,-0.012696459889411926,0.06974748189684245,0.365429450193306
USP40,C2,126,8566,0.03929702937602997,0.06975265117592155,0.365429450193306
NUB1,C5,65,8627,-0.08262341469526291,0.06975415351877748,0.365429450193306
FAM83G,C2,108,8584,0.021105235442519188,0.06975666468679756,0.365429450193306
SAMSN1,C2,111,8581,0.033074840903282166,0.06975919820819886,0.365429450193306
RGL3,C5,80,8612,0.07636267691850662,0.06976743912264782,0.365429450193306
MAGOHB,C2,18,8674,0.050900232046842575,0.06977200728251003,0.365429450193306
PYGM,C7,156,8536,0.05723656993359327,0.06977215601757751,0.365429450193306
GPAT2,C2,74,8618,0.0357346348464489,0.06977278492675153,0.365429450193306
RAB31,C7,26,8666,0.166252251714468,0.06977315676677057,0.365429450193306
TSPAN16,C5,40,8652,0.07309212535619736,0.06977341303314698,0.365429450193306
ANO10,C7,82,8610,0.04402242228388786,0.06977777954641869,0.365429450193306
CXorf21,C5,74,8618,-0.07109896093606949,0.06977995605045656,0.365429450193306
CPA5,C1,73,8619,0.09040834754705429,0.06978358173141622,0.365429450193306
KANK3,C7,45,8647,0.04647180810570717,0.06978630441032545,0.365429450193306
GMPR2,C10,37,8655,0.12051022052764893,0.06979958003641291,0.36547656630709724
CFHR3,C5,85,8607,-0.03543570637702942,0.0698022915840091,0.36547656630709724
C5orf45,C1,44,8648,0.0692606121301651,0.06980555918174679,0.36547656630709724
ARHGEF18,C1,133,8559,0.054896481335163116,0.06981581612659037,0.36548825896730275
LAMA5,C10,347,8345,0.035274118185043335,0.0698172439523549,0.36548825896730275
ZC3H13,C5,236,8456,0.046746876090765,0.06981976844005368,0.36548825896730275
FRMD3,C7,99,8593,-0.04437245801091194,0.06982686959273365,0.36548825896730275
EEFSEC,C5,67,8625,-0.05383290350437164,0.06982769978567098,0.36548825896730275
RTBDN,C6,28,8664,-0.10751991719007492,0.06982870929758175,0.36548825896730275
UBR3,C2,156,8536,0.028873344883322716,0.06983172617448914,0.36548825896730275
AP3B2,C2,144,8548,0.016944085247814655,0.06986753677399259,0.3656403561931182
ZNF582,C6,95,8597,0.043714508414268494,0.06986893859926906,0.3656403561931182
ING3,C1,52,8640,0.06497959420084953,0.069876648981449,0.3656403561931182
SCARA5,C1,75,8617,0.0753806084394455,0.06987752116375547,0.3656403561931182
KIAA1328,C1,80,8612,0.03781216964125633,0.06987788913213976,0.3656403561931182
CD300LF,C1,36,8656,0.06159689277410507,0.06988494475149429,0.36564243135333013
SLC25A45,C5,45,8647,0.0993318185210228,0.06988736197180205,0.36564243135333013
TRIM21,C1,72,8620,0.06296594813466072,0.06989021249247956,0.36564243135333013
OR2M7,C5,127,8565,-0.037013620138168335,0.06989196789255533,0.36564243135333013
TFAP4,C2,56,8636,0.028638191521167755,0.0698983464725846,0.3656492572048934
SNX13,C6,111,8581,0.03826925531029701,0.06990011385816117,0.3656492572048934
SP100,C10,131,8561,0.019210293889045715,0.06990827380654818,0.36567404760348277
LRIG1,C2,128,8564,0.02925705537199974,0.06991633333509197,0.3656776367858396
CHRNG,C10,70,8622,0.12049963790923357,0.06991844492717518,0.3656776367858396
SAAL1,C1,57,8635,0.06985333561897278,0.06992363434769977,0.3656776367858396
SNAPC4,C7,130,8562,0.0502821933478117,0.06992428425573813,0.3656776367858396
PPBP,C2,29,8663,0.047248512506484985,0.06992606433860338,0.3656776367858396
XKR9,C7,70,8622,0.10021361894905567,0.06993321375971828,0.3656971342363196
ANO1,C2,141,8551,0.028161389753222466,0.06994098133364972,0.36570390122750657
SLC25A47,C1,55,8637,0.05384153872728348,0.06994135006637428,0.36570390122750657
PFKM,C10,78,8614,0.04129410535097122,0.06996349734766144,0.3657870076912845
BANK1,C2,147,8545,0.028250407427549362,0.06996408807865592,0.3657870076912845
ITGA1,C2,147,8545,0.019212253391742706,0.06997433056801962,0.365808963606263
EMP1,C5,23,8669,-0.08232802897691727,0.06997513178997218,0.365808963606263
PSEN1,C5,54,8638,0.04647160694003105,0.06998672165280051,0.36583674439752867
INPP5K,C6,35,8657,-0.04371556639671326,0.06999053706561527,0.36583674439752867
ZHX1,C10,98,8594,0.04111238196492195,0.06999071302643559,0.36583674439752867
NSUN7,C2,80,8612,0.03700850997120142,0.07000231690575053,0.3658641307330758
NUP133,C7,143,8549,0.06558038480579853,0.07000438035383719,0.3658641307330758
MTMR9,C7,55,8637,0.07536129280924797,0.07000797628519698,0.3658641307330758
SARS2,C10,59,8633,0.06296136975288391,0.07000964296274009,0.3658641307330758
MESP2,C7,32,8660,0.060781244188547134,0.07001973579846521,0.36589898699221435
OR52K2,C2,66,8626,0.05661791190505028,0.07002359533315564,0.36590126835474435
ZNF570,C1,95,8597,0.04632829129695892,0.07003403509572666,0.36593793213377634
NOS2,C2,181,8511,0.028247054666280746,0.07003976408513311,0.36593933496411374
ZNF787,C10,32,8660,0.0652805045247078,0.07004155802672551,0.36593933496411374
ASMTL,C1,98,8594,0.05331380292773247,0.07004703461890333,0.36593933496411374
SLC1A4,C2,41,8651,0.05163230001926422,0.0700479968570919,0.36593933496411374
HOXA10,C2,36,8656,0.08405140042304993,0.07005974621944572,0.36598282910002783
CRY2,C1,77,8615,0.06758375465869904,0.0700671477806697,0.36598432763330313
ZNF292,C5,315,8377,0.03481888771057129,0.0700679455283834,0.36598432763330313
CD84,C7,75,8617,-0.04059123992919922,0.07007030430832942,0.36598432763330313
GALNT11,C10,76,8616,0.044493988156318665,0.07007488695660172,0.3659903804227731
BCL10,C5,36,8656,0.08487150073051453,0.07009063075229197,0.36605472273290024
MAP7,C5,115,8577,-0.04158838838338852,0.07009658911903612,0.36606617384576023
PTN,C7,55,8637,-0.11067160964012146,0.07009967237897313,0.36606617384576023
DLGAP4,C1,158,8534,0.044153135269880295,0.07010442193804763,0.36607309303353713
SLC29A1,C1,51,8641,0.10991936922073364,0.07012229176328329,0.3661454861128989
FYCO1,C10,133,8559,0.04114601016044617,0.07012784420608756,0.3661454861128989
FZD8,C7,68,8624,0.09180770628154278,0.07012856124340941,0.3661454861128989
PCMT1,C10,22,8670,0.08161920309066772,0.07013342508676855,0.36614560220086106
STX1B,C7,45,8647,0.0991724282503128,0.07013592168959233,0.36614560220086106
ITFG1,C2,71,8621,0.02910532057285309,0.07013885923015858,0.36614560220086106
ZNF552,C1,45,8647,0.05963720381259918,0.07015436234209933,0.36620864913180246
FAM109B,C10,22,8670,0.17864035815000534,0.07017293685574069,0.3662741884632418
RTN3,C2,112,8580,0.03250690549612045,0.07017377057819929,0.3662741884632418
METTL18,C7,42,8650,0.08322962932288647,0.07017965102111276,0.36628699651154095
ACVR2B,C7,60,8632,-0.03887515142560005,0.07019074825624999,0.36630342178259406
JRKL,C1,61,8631,0.08084269613027573,0.07019482977135512,0.36630342178259406
COPS4,C1,56,8636,0.07853513956069946,0.07019574456357836,0.36630342178259406
UQCC1,C6,44,8648,-0.07372520491480827,0.07019650496946976,0.36630342178259406
KLHDC1,C2,40,8652,0.05520631466060877,0.07020280098396588,0.36630831028296085
PCDHB8,C2,297,8395,0.018993481993675232,0.07020429532224796,0.36630831028296085
IFT172,C6,190,8502,0.021157430484890938,0.07021664434090316,0.3663548620394955
SEMA5A,C2,223,8469,0.01948801428079605,0.07022273170090951,0.3663644271173907
DFFA,C6,41,8651,0.03502967953681946,0.0702314757604466,0.3663644271173907
FAM188B,C2,101,8591,0.032965533435344696,0.07024040592728309,0.3663644271173907
FAM183B,C7,50,8642,-0.08141478151082993,0.07024071202405376,0.3663644271173907
ZNF211,C2,90,8602,0.033598339185118675,0.07024083526444956,0.3663644271173907
GSTA3,C5,25,8667,0.07546882331371307,0.07024086060189866,0.3663644271173907
TRIM33,C10,96,8596,0.024077314883470535,0.07025086655951185,0.3663644271173907
EPB41L4B,C2,120,8572,0.02650657296180725,0.070252177809673,0.3663644271173907
SNRNP200,C10,187,8505,0.03230283223092556,0.07025288213169345,0.3663644271173907
FAM189B,C1,58,8634,0.07846701145172119,0.0702598882685006,0.3663644271173907
SLC2A3,C1,94,8598,0.06165217608213425,0.07026118588744037,0.3663644271173907
ARL6IP6,C10,35,8657,-0.09888362884521484,0.07026214655561033,0.3663644271173907
MEF2A,C1,54,8638,-0.06982255354523659,0.07026456257492666,0.3663644271173907
PSAP,C2,62,8630,0.0285256402567029,0.0702664597811026,0.3663644271173907
HIST1H4C,C7,30,8662,0.1118055023252964,0.0702761415929461,0.3663917587101608
NAB2,C1,62,8630,0.056340333074331284,0.0702822093895128,0.3663917587101608
TFAP2E,C1,27,8665,0.08857890963554382,0.07028928756728119,0.3663917587101608
ATE1,C7,54,8638,0.06802165880799294,0.07028986565445713,0.3663917587101608
GPR112,C2,509,8183,0.011796712875366211,0.07029084868466438,0.3663917587101608
CHRNA9,C2,80,8612,0.026694766245782375,0.0702933556231663,0.3663917587101608
QKI,C2,69,8623,0.03964458964765072,0.07029864729509724,0.3663917587101608
APOBR,C1,131,8561,0.05391675978899002,0.07029912224166851,0.3663917587101608
FLI1,C10,96,8596,0.05578094534575939,0.07030793885980154,0.3664198445886278
PCDHGB1,C2,188,8504,0.02458846941590309,0.07031873954593605,0.36643867126456153
AC003006.7,C2,19,8673,0.06294596940279007,0.07032147114386707,0.36643867126456153
NT5DC4,C10,20,8672,0.11621350049972534,0.07032183526344499,0.36643867126456153
SETD3,C2,69,8623,0.03862950950860977,0.07032853181228572,0.36645570249115744
GPR82,C5,41,8651,0.1260826215147972,0.07033788050263234,0.3664671067050061
ZNF620,C10,51,8641,0.07141923159360886,0.07033910826283264,0.3664671067050061
CHCHD2,C1,26,8666,0.09330074861645699,0.07034206242064338,0.3664671067050061
PDILT,C2,137,8555,0.018757909536361694,0.07034561109477885,0.3664671067050061
C17orf66,C5,82,8610,-0.06380973011255264,0.07035222230127726,0.3664671067050061
COMMD5,C10,26,8666,0.12664641439914703,0.07035420801997055,0.3664671067050061
FAM69A,C2,38,8654,0.02282010205090046,0.07035676510381268,0.3664671067050061
PIGC,C5,37,8655,-0.11311656981706619,0.07035814652472347,0.3664671067050061
PEX6,C10,69,8623,0.07229235768318176,0.07036590211408772,0.3664693593961325
STK36,C10,139,8553,0.0487615242600441,0.07037360821490779,0.3664693593961325
LETM2,C1,49,8643,0.06731173396110535,0.07037727098786131,0.3664693593961325
TEX264,C7,35,8657,0.09431455284357071,0.07037731831674111,0.3664693593961325
H1FOO,C7,40,8652,0.10553513467311859,0.07037908351867145,0.3664693593961325
MAGEA4,C6,99,8593,-0.036957284435629845,0.0703815918633877,0.3664693593961325
QRFPR,C1,83,8609,0.0674324557185173,0.07038563854428875,0.3664693593961325
METTL21B,C7,23,8669,-0.09094873070716858,0.07038748517566444,0.3664693593961325
GRIK4,C2,164,8528,0.01565362513065338,0.07038943353466354,0.3664693593961325
BTRC,C2,88,8604,0.024050467647612095,0.07039907249845934,0.36650169258244336
GOLGA5,C1,88,8604,0.05375969037413597,0.07040570226362411,0.3665052229497693
CLCNKB,C1,99,8593,0.05041094869375229,0.07040660785505082,0.3665052229497693
MBD4,C1,63,8629,0.08720842748880386,0.07041247836284875,0.3665179337297955
LIPC,C6,83,8609,0.02040892094373703,0.07042658764585699,0.3665735264640176
TRPV5,C5,192,8500,-0.01740369200706482,0.0704367928311654,0.3665969591857969
FRMPD3,C7,183,8509,0.05282018333673477,0.07043794851741021,0.3665969591857969
CYP1A1,C5,82,8610,-0.04673017002642155,0.07044833892389664,0.3666331858621643
UBAP1L,C2,15,8677,0.08536294847726822,0.07046074790896595,0.3666642955673518
PPP4C,C2,35,8657,0.050851970911026,0.07046117684052294,0.3666642955673518
TRPC6,C10,188,8504,0.02962498925626278,0.07046472011303082,0.3666648844473807
C1orf173,C10,482,8210,0.03396611660718918,0.07048089960900457,0.3667232751652791
FAM47E-STBD1,C7,36,8656,0.09945341572165489,0.07048280280151417,0.3667232751652791
FGFBP1,C2,32,8660,0.05229251552373171,0.07049014511582204,0.36674362660863
SLAIN2,C2,62,8630,0.03088440466672182,0.0705109043705042,0.3668090365069444
MASP1,C1,193,8499,0.050308212637901306,0.07051166847455217,0.3668090365069444
CMAS,C10,65,8627,0.06556247174739838,0.07051443686999136,0.3668090365069444
TRIM16L,C1,40,8652,0.07682397589087486,0.07051644308690416,0.3668090365069444
CYTH3,C1,68,8624,0.052646491676568985,0.0705199313397502,0.3668093319300247
C14orf28,C5,46,8646,-0.06415342167019844,0.07053545195557329,0.3668722105995992
OR2A25,C5,97,8595,-0.03790086507797241,0.07054048319628213,0.3668805279886038
DHX29,C6,142,8550,0.03354656510055065,0.07055216689230064,0.36692344225549134
OR2L2,C6,143,8549,0.04043590649962425,0.07055664952318376,0.3669289033048042
IL27,C1,39,8653,0.11189911514520645,0.07056530226981297,0.3669560493984203
ELP5,C1,35,8657,0.07118675857782364,0.07057661613452075,0.36699703061320865
ZNF77,C2,67,8625,0.034978367388248444,0.07060004973018014,0.36710102714064285
KCNT2,C7,337,8355,0.03284674510359764,0.07060522891391824,0.3671098762351126
FAM155B,C1,64,8628,0.0438602939248085,0.07060862011107913,0.3671098762351126
RACGAP1,C1,80,8612,0.037922997027635574,0.07062021813973902,0.3671319213326037
ADCK4,C2,57,8635,0.031175890937447548,0.07062151255324017,0.3671319213326037
PRSS58,C1,74,8618,0.04087907448410988,0.07062316362036306,0.3671319213326037
APOL1,C1,50,8642,0.030115628615021706,0.0706357971182802,0.3671797397760981
VGF,C1,45,8647,0.05153316259384155,0.07064449114097,0.36720707634355115
NBPF1,C7,176,8516,0.04537716135382652,0.07065316794796891,0.3672320748311413
TBC1D31,C5,115,8577,-0.03279273211956024,0.07065986440906641,0.3672320748311413
SHQ1,C5,67,8625,0.032277777791023254,0.07066092137453595,0.3672320748311413
KCNN1,C6,79,8613,0.05060908943414688,0.07066651916857768,0.3672320748311413
RNF34,C7,28,8664,0.07908395677804947,0.0706705032932867,0.3672320748311413
GABRE,C5,121,8571,-0.031457215547561646,0.07067211642775595,0.3672320748311413
POU2F1,C1,84,8608,0.03230152279138565,0.0706733483332046,0.3672320748311413
CXorf58,C2,69,8623,0.029625728726387024,0.07068795967697479,0.3672825813349135
TRAV25,C10,18,8674,0.10707083344459534,0.07068994002006165,0.3672825813349135
CEACAM4,C6,63,8629,0.06694920361042023,0.07069464482972146,0.3672891739352567
ZIM3,C10,163,8529,0.026478733867406845,0.07070558320595702,0.3673263896687815
GFOD1,C1,58,8634,0.08868305012583733,0.0707086805887453,0.3673263896687815
FANCB,C1,115,8577,0.06133323907852173,0.07071231473792763,0.3673274174470557
NEFH,C2,97,8595,0.011373482644557953,0.0707178549419793,0.3673383459778327
MARS,C1,90,8602,0.05653143674135208,0.07072647040533098,0.36736524686337513
STOX2,C2,110,8582,0.02799330558627844,0.07074426097547822,0.3674202261846873
PRC1,C10,70,8622,0.08682476356625557,0.07074945104587475,0.3674202261846873
RBM10,C7,144,8548,-0.029899712651968002,0.07075051063471685,0.3674202261846873
NPIPA5,C7,20,8672,0.20374663919210434,0.07075192158503962,0.3674202261846873
SGMS2,C2,45,8647,0.03481059521436691,0.07075585274543256,0.3674202261846873
PSMG3,C1,17,8675,0.06325537711381912,0.07076516808686564,0.3674202261846873
OBP2B,C5,24,8668,-0.08639682456851006,0.07076678892810974,0.3674202261846873
GPRASP2,C5,138,8554,0.060525549575686455,0.07077385082782754,0.3674202261846873
CELF5,C10,39,8653,0.0808572769165039,0.0707744938150317,0.3674202261846873
ZSCAN31,C7,74,8618,-0.05285597965121269,0.07077538962142745,0.3674202261846873
ULK4,C2,140,8552,0.02902929950505495,0.07078071055066844,0.3674202261846873
ANKRD13C,C5,72,8620,0.07561435550451279,0.07078288415208725,0.3674202261846873
DDX28,C2,39,8653,0.050038861110806465,0.07078446799043614,0.3674202261846873
CXorf64,C5,34,8658,0.10917612351477146,0.07078517566651184,0.3674202261846873
IFFO2,C1,24,8668,0.10481302440166473,0.0708049026021941,0.36747220574538614
KMT2D,C6,849,7843,0.01790378987789154,0.07080952456687879,0.36747220574538614
MAP3K12,C1,131,8561,0.05339670926332474,0.07081209306208869,0.36747220574538614
ZCCHC12,C6,88,8604,0.05996365658938885,0.07081774911772598,0.36747220574538614
ANKS3,C6,56,8636,0.07418387196958065,0.07081865906379997,0.36747220574538614
ABHD13,C2,55,8637,0.03477626293897629,0.07081997157457845,0.36747220574538614
TRIM67,C7,112,8580,0.053159172646701336,0.07082182254213282,0.36747220574538614
DXO,C2,39,8653,0.050474438816308975,0.0708243762148244,0.36747220574538614
ALG14,C10,27,8665,0.13803261518478394,0.07082696476745126,0.36747220574538614
C19orf73,C2,15,8677,0.1029583215713501,0.07082956637458779,0.36747220574538614
SCARB2,C1,58,8634,0.07523218542337418,0.07083967892897397,0.3675068342048824
NSMCE2,C1,36,8656,0.0677303709089756,0.07084560462849974,0.367508730676803
HPDL,C7,28,8664,0.14637747965753078,0.07084692049334755,0.367508730676803
PAPPA2,C7,559,8133,0.021895645186305046,0.07085516789686053,0.3675336775768053
JAKMIP2,C6,158,8534,0.044827934354543686,0.07086026139762643,0.36753980436550926
PRKAR1A,C7,58,8634,0.09641563519835472,0.07086426325998102,0.36753980436550926
TRBV28,C6,29,8663,-0.03927387297153473,0.07086978343561703,0.36753980436550926
KIAA0430,C2,177,8515,0.022730253636837006,0.07087010222629356,0.36753980436550926
NT5M,C10,29,8663,0.09641392529010773,0.07088135634497804,0.36756506122510957
DNAJC14,C1,100,8592,0.0578986331820488,0.0708818493872026,0.36756506122510957
SLC10A7,C5,50,8642,-0.04203375428915024,0.07089137195952809,0.36758752969354896
SPOCK3,C6,145,8547,0.04945610463619232,0.07089305972311598,0.36758752969354896
SMC3,C7,139,8553,0.07839260995388031,0.07090946765818135,0.36765251797750714
PPWD1,C1,67,8625,0.061713218688964844,0.07091247208183882,0.36765251797750714
DSN1,C10,56,8636,0.11570017784833908,0.07092291753379153,0.3676827688519559
TRIM27,C7,75,8617,0.09669474139809608,0.07092518610357104,0.3676827688519559
PCMTD1,C1,71,8621,0.04894334077835083,0.0709290411342807,0.3676849222195854
MFSD2B,C1,57,8635,0.05316418409347534,0.07093534783085903,0.3676997838098878
PCDHGA11,C1,146,8546,0.046097077429294586,0.07094302140661767,0.3677217289570771
PRAME,C1,82,8610,0.04388461261987686,0.07095126524460647,0.3677246960147033
ABI2,C2,58,8634,0.03041498363018036,0.07095446566919607,0.3677246960147033
DEFB126,C6,25,8667,-0.16061003506183624,0.07096132817470664,0.3677246960147033
KIAA1210,C7,267,8425,0.04301290214061737,0.07096943118267741,0.3677246960147033
NDRG3,C7,45,8647,-0.06019873917102814,0.07096969821728906,0.3677246960147033
DCT,C10,120,8572,0.06692235544323921,0.07097060316134485,0.3677246960147033
METTL21C,C10,58,8634,0.0556817464530468,0.07097087621609416,0.3677246960147033
DNAJC15,C1,20,8672,0.13882426917552948,0.07097474423693399,0.3677246960147033
PDE12,C2,55,8637,0.03102739155292511,0.0709799232797904,0.3677246960147033
GNRH2,C5,16,8676,0.15194536745548248,0.07098150353555432,0.3677246960147033
SCG5,C1,24,8668,0.07487417012453079,0.07098298904597222,0.3677246960147033
OR4A5,C10,152,8540,0.03337184339761734,0.07098581825303585,0.3677246960147033
RAB17,C1,28,8664,0.09473554417490959,0.0709883141273707,0.3677246960147033
ODF1,C1,53,8639,0.03851548954844475,0.07099852705038112,0.3677534955755295
CDHR3,C1,118,8574,0.040080416947603226,0.07100075439387608,0.3677534955755295
DYNC1LI1,C10,56,8636,0.11538299173116684,0.0710105918789677,0.367753969986301
NTF4,C7,28,8664,0.08407372049987316,0.07101190221180666,0.367753969986301
NDST4,C10,269,8423,0.03807283937931061,0.07101691828055008,0.367753969986301
APPL2,C6,80,8612,0.028578937519341707,0.07101829749750277,0.367753969986301
PGC,C10,58,8634,0.041921891272068024,0.07102012653331667,0.367753969986301
SECISBP2,C7,92,8600,0.052636515349149704,0.07102576774412513,0.367753969986301
HFE2,C2,66,8626,0.018060961738228798,0.07102659088760493,0.367753969986301
SDK2,C2,266,8426,0.012029875069856644,0.07102836836118442,0.367753969986301
CD83,C7,24,8668,0.09120822325348854,0.07104668028170191,0.36781797326445337
KLHL38,C6,110,8582,0.04821676202118397,0.07104881205896635,0.36781797326445337
MTHFD1,C2,85,8607,0.030936792492866516,0.07105715558906117,0.36781797326445337
DHCR24,C10,49,8643,0.04185536131262779,0.07105789856254072,0.36781797326445337
DSN1,C5,56,8636,0.07092732191085815,0.07106073138853672,0.36781797326445337
DSG1,C5,212,8480,-0.02809550240635872,0.07106570192711152,0.36781797326445337
ZNF134,C7,53,8639,0.09634970128536224,0.07106723160334011,0.36781797326445337
DKK3,C6,44,8648,-0.08128932118415833,0.07106856595780658,0.36781797326445337
URM1,C5,21,8671,-0.1320802867412567,0.07107169807829371,0.36781797326445337
FCRL5,C1,250,8442,0.022512853145599365,0.0710772731850054,0.3678290179310775
TSC2,C5,189,8503,0.04872426390647888,0.07108344213049682,0.36784313452977624
KLK10,C5,33,8659,-0.09344357252120972,0.07109013602526032,0.3678599661417479
NDUFAF7,C1,54,8638,0.060902614146471024,0.07111203574067737,0.36795529801459187
GALK2,C2,51,8641,0.048332080245018005,0.07111544358050319,0.36795529801459187
KRTAP10-12,C10,32,8660,0.13837947696447372,0.07113980622871167,0.3680635364514962
ZRSR2,C1,41,8651,0.09441877156496048,0.07115479432732656,0.3681145687197666
PRKX,C2,50,8642,0.04216130170971155,0.0711565571532755,0.3681145687197666
PRPH2,C7,55,8637,0.06569509580731392,0.0711655004381321,0.3681359420224359
C2CD5,C1,130,8562,0.041586678475141525,0.07116757635359262,0.3681359420224359
STMN3,C6,24,8668,-0.09426400065422058,0.07117420331432443,0.36814245019036257
MAVS,C6,58,8634,-0.044823430478572845,0.07117627076332428,0.36814245019036257
OR2S2,C1,46,8646,0.05672365799546242,0.07117916629747056,0.36814245019036257
OR4C16,C10,145,8547,0.0423581600189209,0.07119063283223502,0.3681839415179542
NOL7,C7,24,8668,0.10058383084833622,0.07119973042362314,0.3682131777147372
POLR3G,C1,32,8660,0.08639082685112953,0.07120614753914356,0.36822854953046735
PEX16,C6,42,8650,-0.08442916721105576,0.07124585565524481,0.3684040568404922
ZFYVE27,C2,43,8649,0.050875499844551086,0.07124705774661479,0.3684040568404922
UGT2B10,C6,135,8557,0.036263734102249146,0.07125042537719219,0.3684040568404922
MAN1B1,C10,69,8623,0.05118301510810852,0.07126013381096251,0.36843053082779803
VCL,C1,111,8581,0.06381335109472275,0.07126243877596498,0.36843053082779803
RREB1,C6,180,8512,-0.023925121873617172,0.07127203733503566,0.36843159219221855
TNIK,C2,237,8455,0.01873157173395157,0.07127425269526212,0.36843159219221855
PCSK2,C6,125,8567,-0.03264710307121277,0.07127546403865317,0.36843159219221855
TPCN1,C1,110,8582,0.053933605551719666,0.0712764306104539,0.36843159219221855
MAN1A2,C6,88,8604,0.008307259529829025,0.07128533787522842,0.36845981710315834
ARID1B,C10,286,8406,0.03848281688988209,0.0712895548804919,0.36846006285330724
C14orf39,C1,127,8565,0.05051949620246887,0.07129445178888287,0.36846006285330724
PLG,C2,229,8463,0.01879224181175232,0.07129572612686917,0.36846006285330724
TXLNG,C1,52,8640,0.06553920730948448,0.07129977300890289,0.36846316343048985
SRD5A1,C1,26,8666,0.08712305501103401,0.07131916107492921,0.36854554008825446
RAB28,C10,32,8660,0.17196869850158691,0.07132790498201116,0.36857290718601365
IKBKAP,C10,125,8567,0.05686885677278042,0.0713374305390057,0.36860431046488557
DEFB116,C2,39,8653,-0.03853176534175873,0.07134486415376973,0.3686249020533312
MRO,C10,48,8644,0.13933636993169785,0.0713518621979915,0.36864324125260994
PAXBP1,C6,118,8574,-0.03952559921890497,0.07138276116515797,0.3687715265299146
ACER3,C1,34,8658,0.07785409688949585,0.07138533344925001,0.3687715265299146
PPP3CC,C2,50,8642,0.047263819724321365,0.07138704159635087,0.3687715265299146
KCNK9,C10,122,8570,0.06909587886184454,0.07139335651433783,0.3687734983132213
TMEM161A,C10,53,8639,0.039576247334480286,0.07139432296430283,0.3687734983132213
LGALS3,C1,19,8673,0.04965416342020035,0.07142168774605609,0.36886547532338926
MSANTD1,C6,19,8673,0.10692209005355835,0.07142168774605609,0.36886547532338926
TUBD1,C1,58,8634,0.04775180108845234,0.07142338716003009,0.36886547532338926
MINOS1-NBL1,C5,23,8669,0.10667038708925247,0.0714270956219348,0.36886547532338926
FBLL1,C10,26,8666,0.10117720812559128,0.07142977747479691,0.36886547532338926
CMPK2,C5,40,8652,-0.1389259174466133,0.07143449519037569,0.36886547532338926
MTHFR,C1,82,8610,0.06084752082824707,0.07143628452088764,0.36886547532338926
C10orf82,C7,20,8672,0.1114003024995327,0.0714501529777936,0.36891741748024587
SPIN2B,C1,23,8669,0.14013628661632538,0.07145324625347076,0.36891741748024587
FAM50B,C2,63,8629,0.03583800047636032,0.07145954501778365,0.3689321190157451
CDH9,C10,357,8335,0.024403326213359833,0.07146403851358839,0.3689374993213824
KRTAP9-4,C1,22,8670,0.13228865712881088,0.07147373201565199,0.3689697231634295
TAZ,C5,46,8646,-0.07873331382870674,0.0714842976230785,0.369000820255151
ST3GAL2,C7,42,8650,-0.08382710814476013,0.07148781478493849,0.369000820255151
SYTL5,C6,113,8579,-0.056013455614447594,0.07149583725632168,0.369000820255151
H1FNT,C2,42,8650,0.04220397770404816,0.07149750713947146,0.369000820255151
SPRY3,C2,88,8604,0.03564152494072914,0.07149993399782609,0.369000820255151
MS4A15,C5,38,8654,0.13325770385563374,0.07150046765028573,0.369000820255151
MGAT1,C5,60,8632,-0.09339950606226921,0.07150409960394832,0.3690017491196128
C19orf80,C1,18,8674,0.05268141254782677,0.07151417322221619,0.36903312840077823
IL17A,C7,41,8651,0.08354096859693527,0.07151708471739375,0.36903312840077823
RPRD1A,C6,43,8649,-0.09431801736354828,0.07152452386067008,0.36905369998601095
OR1C1,C10,130,8562,0.04572933912277222,0.07152967381398595,0.36906245834635787
KIAA1551,C1,199,8493,0.025436148047447205,0.07154113705523538,0.3691037881488701
MPV17,C2,23,8669,0.028582222759723663,0.07155792724754534,0.3691725960933208
PRRT2,C2,63,8629,0.029312321916222572,0.07157843183441935,0.3692462544435606
MRPL19,C1,27,8665,0.09911473095417023,0.07158537457346392,0.3692462544435606
CCDC28A,C6,54,8638,0.049009887501597404,0.07159026934186175,0.3692462544435606
TDRD7,C10,103,8589,0.0929697435349226,0.07159066873807635,0.3692462544435606
PLAUR,C5,45,8647,-0.12148654460906982,0.0715956612515906,0.3692462544435606
ADIG,C2,17,8675,-0.052106548100709915,0.07159887156899948,0.3692462544435606
QARS,C6,75,8617,0.04504508525133133,0.07159922434024303,0.3692462544435606
TMEM105,C6,25,8667,0.11045720428228378,0.07159983874145079,0.3692462544435606
ALKBH1,C10,56,8636,0.11532232165336609,0.0716141839351626,0.3693024171900787
LRRC27,C5,75,8617,0.06820609420537949,0.07162833256158174,0.3693476099135532
MS4A10,C6,59,8633,0.055261701345443726,0.07163002312107833,0.3693476099135532
GKAP1,C5,42,8650,-0.06135992705821991,0.07163331320842488,0.3693476099135532
XPNPEP1,C2,69,8623,0.04353882372379303,0.0716386303868569,0.36935720994711113
IGHV3-20,C10,47,8645,-0.09792859479784966,0.07165364669768891,0.3693889635593241
OR2AE1,C2,47,8645,0.008661031723022461,0.0716536466989853,0.3693889635593241
RAI2,C10,94,8598,0.07998478319495916,0.07165618318743723,0.3693889635593241
CERK,C1,61,8631,0.058420658111572266,0.07165861152269219,0.3693889635593241
APOO,C6,28,8664,-0.0399538055062294,0.07166309682116893,0.3693942712795677
HNRNPUL2,C1,81,8611,0.05189700424671173,0.0716848168691717,0.3694884123654457
