gene,component,n_mut,n_wt,effect,p,q
REV3L,C1,314,8378,0.07090336456894875,3.4875307007817194e-07,0.000517782058042726
EP300,C1,361,8331,0.06692063808441162,3.649780448472759e-07,0.0005344478504382795
UBR5,C1,312,8380,0.07188450917601585,3.943366656542452e-07,0.0005696353001591378
HSPG2,C1,365,8327,0.06467366218566895,4.106696423130445e-07,0.0005767250237994697
NRD1,C1,156,8536,0.09283772483468056,4.1360745748303096e-07,0.0005767250237994697
NPEPL1,C1,75,8617,0.14351316541433334,4.2228460545579634e-07,0.0005767250237994697
NFE2L2,C2,245,8447,-0.05521271377801895,4.249215682164713e-07,0.0005767250237994697
PCLO,C1,968,7724,0.04005660116672516,4.262205964690738e-07,0.0005767250237994697
COL7A1,C1,375,8317,0.07199327647686005,4.5331519694547313e-07,0.0006057197661585411
UBR4,C1,402,8290,0.06437212973833084,4.611566092137051e-07,0.0006085900851667682
ADAM2,C1,189,8503,0.0965014398097992,4.888677529040548e-07,0.0006372927721272177
C11orf63,C1,150,8542,0.1157006174325943,5.105957022953013e-07,0.0006575980505127534
PCCA,C1,104,8588,0.11493349447846413,5.445487269099038e-07,0.000692977151330489
KMT2B,C1,388,8304,0.0666702389717102,5.638271279073183e-07,0.0007090689960562435
MAP1A,C1,284,8408,0.08114086836576462,5.947479220953375e-07,0.0007392578358174789
ANK3,C1,567,8125,0.06087009608745575,6.073210493926448e-07,0.0007462090907571972
NSD1,C1,352,8340,0.0725957453250885,6.919271711656752e-07,0.0008393873193662504
KIF2B,C1,269,8423,0.09599079191684723,7.037511008164128e-07,0.0008393873193662504
HRNR,C1,430,8262,0.06745265051722527,7.067136164399279e-07,0.0008393873193662504
ZNF416,C1,79,8613,0.12329821288585663,7.830474840965388e-07,0.0009198312512086112
CCDC178,C1,209,8483,0.10793712735176086,8.432991012780032e-07,0.0009669820385065746
C6,C1,306,8386,0.099300317466259,8.498107522026715e-07,0.0009669820385065746
XKR4,C1,168,8524,0.08554235473275185,8.590604645890744e-07,0.0009669820385065746
RNF43,C10,222,8470,0.1198323704302311,8.641817143588357e-07,0.0009669820385065746
CHD6,C2,338,8354,0.046835558488965034,8.684167386677814e-07,0.0009669820385065746
CACNA1D,C1,281,8411,0.07200957834720612,9.096168586616836e-07,0.0010011127779536132
RASA1,C1,212,8480,0.09202385321259499,9.17799096687005e-07,0.0010011127779536132
KEAP1,C5,247,8445,0.08586560562252998,9.392616185071024e-07,0.0010141748482013658
CLTC,C1,166,8526,0.09721814095973969,9.625424776890636e-07,0.0010289194069505014
SCAPER,C1,159,8533,0.09775672852993011,9.762884683844614e-07,0.0010332805160042117
