test,rho,p
Tahoe CDI vs its own effect size,0.32746249958719065,0.11828377163583664
Tahoe CDI vs n lines,-0.045511470392887166,0.8327574756178728
Tahoe CDI vs n replicate pairs,-0.12544858834975814,0.559168341941231
LINCS index vs its own effect size,-0.005217391304347826,0.9806966832535792
disagreement vs effect-size difference,-0.023478260869565212,0.9132865779270147
"Tahoe vs LINCS, effect size partialled out",0.010434782608695651,0.9614038727773804
