,C1,C2,C5,C6,C7,C10,cancer_type
TCGA-OR-A5L8-01,-0.13403090834617615,-0.2052086889743805,-0.23603512346744537,0.10127255320549011,0.09398731589317322,-0.2402685284614563,ACC
TCGA-OR-A5L9-01,-0.17325392365455627,-0.07636404037475586,0.21328312158584595,0.10241179168224335,-0.24715475738048553,-0.0400061272084713,ACC
TCGA-OR-A5LA-01,-0.053537629544734955,-0.13344188034534454,0.31480616331100464,0.04751286283135414,-0.1778985559940338,-0.16898797452449799,ACC
TCGA-OR-A5LB-01,0.06378033757209778,0.028335001319646835,-0.06363993883132935,0.3409354090690613,0.3053075075149536,-0.24143710732460022,ACC
TCGA-OR-A5LC-01,0.22909748554229736,-0.07821333408355713,-0.06674699485301971,0.06963354349136353,0.1289270520210266,0.23565231263637543,ACC
TCGA-OR-A5LD-01,0.050349026918411255,-0.07891282439231873,-0.4302214980125427,0.18089261651039124,0.24990414083003998,0.0370464026927948,ACC
TCGA-OR-A5LE-01,-0.009651541709899902,0.09088107943534851,-0.20993295311927795,-0.18312734365463257,0.11476778984069824,0.0752187967300415,ACC
TCGA-OR-A5LG-01,0.5527970194816589,0.030668236315250397,0.31112605333328247,-0.2569098472595215,-0.41975975036621094,0.25450199842453003,ACC
TCGA-OR-A5LH-01,-0.0954330712556839,0.2677324712276459,0.25628218054771423,-0.28426867723464966,0.0865049660205841,0.025764644145965576,ACC
TCGA-OR-A5LJ-01,0.20432360470294952,0.05692334100604057,-0.1089072972536087,-0.2244173288345337,0.151423379778862,0.24793082475662231,ACC
TCGA-OR-A5LK-01,0.04694676399230957,-0.13547390699386597,0.223813995718956,-0.46606770157814026,-0.6628227829933167,0.01502913236618042,ACC
TCGA-OR-A5LL-01,0.24204251170158386,-0.026783794164657593,0.2623380124568939,-0.09925371408462524,-0.03610488772392273,-0.051357150077819824,ACC
TCGA-OR-A5LM-01,0.05420468747615814,0.21216237545013428,0.1277593970298767,0.12612852454185486,0.2696157991886139,0.0788230448961258,ACC
TCGA-OR-A5LN-01,0.07185573130846024,-0.21427875757217407,0.05230734497308731,-0.09188660979270935,-0.4341021180152893,-0.05523709952831268,ACC
TCGA-OR-A5LO-01,-0.3024764657020569,0.11578938364982605,-0.41665515303611755,0.383474737405777,0.6174143552780151,-0.1967223733663559,ACC
TCGA-OR-A5LP-01,-0.1059977263212204,-0.3557823598384857,0.06109696626663208,-0.25957947969436646,-0.43137747049331665,-0.23430857062339783,ACC
TCGA-OR-A5LR-01,-0.14594553411006927,-0.04192396253347397,0.28323620557785034,-0.15828022360801697,-0.04735780507326126,0.01665467768907547,ACC
TCGA-OR-A5LS-01,-0.21450889110565186,0.14645157754421234,-0.28180766105651855,0.16604125499725342,0.3740748465061188,0.021813102066516876,ACC
TCGA-OR-A5LT-01,-0.10425247251987457,-0.06604763865470886,0.12979380786418915,0.21163518726825714,-0.11855828762054443,-0.2299286276102066,ACC
TCGA-OU-A5PI-01,-0.26895174384117126,0.16669383645057678,0.04390232264995575,0.13131429255008698,0.29573705792427063,-0.3782445192337036,ACC
TCGA-P6-A5OF-01,-0.19131295382976532,0.12207454442977905,-0.07485395669937134,0.07903649657964706,0.10352744907140732,-0.19261419773101807,ACC
TCGA-P6-A5OG-01,0.4415479302406311,-0.06923800706863403,-0.24954986572265625,0.0730644166469574,-0.8540515899658203,-0.15113231539726257,ACC
TCGA-PA-A5YG-01,-0.10289977490901947,-0.2168915867805481,0.10002009570598602,-0.08644074201583862,-0.4281276762485504,-0.3364056944847107,ACC
TCGA-PK-A5H8-01,-0.17089663445949554,0.08211767673492432,-0.12042921781539917,-0.08576250076293945,0.12956351041793823,0.1051037460565567,ACC
TCGA-PK-A5H9-01,-0.13695818185806274,-0.11846982687711716,0.271683931350708,-0.21605953574180603,-0.3738258183002472,0.2619048058986664,ACC
TCGA-PK-A5HA-01,-0.06363184750080109,0.00590919703245163,-0.05715426802635193,-0.2553885877132416,-0.3120576739311218,0.0687442272901535,ACC
TCGA-PK-A5HB-01,-0.2645227015018463,-0.016171813011169434,-0.2609677314758301,-0.024306192994117737,0.10117145627737045,-0.12147228419780731,ACC
TCGA-2F-A9KO-01,0.014435917139053345,-0.10644276440143585,0.10268033295869827,-0.13593308627605438,-0.41873452067375183,-0.10775744915008545,BLCA
TCGA-2F-A9KP-01,0.3436083197593689,0.10417306423187256,0.032024189829826355,-0.20163148641586304,0.402188777923584,0.12166943401098251,BLCA
TCGA-2F-A9KQ-01,-0.10966843366622925,0.005659259855747223,0.14314326643943787,-0.08896349370479584,0.06760364770889282,0.10572167485952377,BLCA
TCGA-2F-A9KR-01,-0.04519382119178772,-0.05313120782375336,0.13731010258197784,-0.1099359467625618,0.04730471223592758,0.1887737214565277,BLCA
TCGA-2F-A9KT-01,0.327719122171402,-0.12440403550863266,-0.12549468874931335,0.09634728729724884,0.057987600564956665,0.34900161623954773,BLCA
TCGA-2F-A9KW-01,-0.2594529092311859,0.21808773279190063,-0.15900997817516327,0.17328190803527832,0.016949713230133057,-0.5595120191574097,BLCA
TCGA-4Z-AA7M-01,0.29377448558807373,0.037135809659957886,-0.2787909507751465,0.10271714627742767,0.3642107844352722,0.07062770426273346,BLCA
TCGA-4Z-AA7N-01,-0.06825414299964905,-0.018541187047958374,-0.09434318542480469,0.11115372180938721,0.12192681431770325,-0.18535345792770386,BLCA
