gene_symbol,ensembl_id,ctrl_mean_expr,var_total,var_residual,var_interaction,noise,interaction_fraction,additive_fraction,reproducibility
CYP26B1,ENSG00000003137,0.59880155,0.24287945,0.23750138,0.027863612,0.20963778,0.11472198,0.02214295,0.11731979
LDLRAD4,ENSG00000168675,1.1560396,0.23461165,0.22567442,0.027849568,0.19782485,0.11870497,0.038093697,0.123405956
ADGRE2,ENSG00000127507,0.9028725,0.29792738,0.2750724,0.02783173,0.24724066,0.09341783,0.07671327,0.10117965
GPX3,ENSG00000211445,0.8368023,0.27378738,0.25060955,0.027816419,0.22279313,0.10159861,0.08465632,0.11099505
PTGS2,ENSG00000073756,1.4075068,0.24618326,0.21945262,0.027784253,0.19166836,0.11286004,0.108580254,0.12660706
DEPTOR,ENSG00000155792,1.0310977,0.25143203,0.23350476,0.027759327,0.20574543,0.110404894,0.07130068,0.1188812
CP,ENSG00000047457,1.1696041,0.30219513,0.2667233,0.02774377,0.23897953,0.09180747,0.11738054,0.10401704
CSF2,ENSG00000164400,0.60806084,0.33652386,0.2836793,0.02769929,0.25598,0.082310036,0.15703063,0.09764297
SLC35F4,ENSG00000151812,0.76912713,0.32429877,0.32101792,0.02769864,0.29331928,0.08541087,0.010116746,0.08628378
ENSG00000291272,ENSG00000291272,0.5963995,0.31642568,0.26455003,0.027695,0.23685503,0.0875245,0.1639426,0.10468719
CA2,ENSG00000104267,0.88782,0.30027914,0.28415838,0.027647618,0.25651076,0.09207305,0.05368592,0.097296506
CXCL11,ENSG00000169248,0.4399595,0.2867155,0.27432287,0.02764129,0.24668157,0.09640668,0.043222778,0.10076189
CCL2,ENSG00000108691,0.8662149,0.36139482,0.3057475,0.027628021,0.27811947,0.07644831,0.15397927,0.09036221
ENSG00000286023,ENSG00000286023,0.3612804,0.19810845,0.19677457,0.027616758,0.16915782,0.13940223,0.006733067,0.14034718
ENSG00000259370,ENSG00000259370,0.3847012,0.20021014,0.19648209,0.027606824,0.16887526,0.13788924,0.01862067,0.14050555
SLC6A9,ENSG00000196517,0.89825124,0.28658244,0.2609059,0.02760114,0.23330475,0.096311346,0.08959568,0.10578964
IDO1,ENSG00000131203,0.42292938,0.24312602,0.23879653,0.02758916,0.21120737,0.11347678,0.017807586,0.11553417
SLC8A1,ENSG00000183023,1.3480529,0.21286272,0.18769075,0.027547656,0.16014309,0.12941512,0.11825446,0.14677152
H2BC10,ENSG00000278588,0.22550823,0.18884884,0.1645228,0.027539581,0.13698322,0.14582871,0.12881224,0.16739067
TTC29,ENSG00000137473,0.44209877,0.2646933,0.2512378,0.027536321,0.22370149,0.10403105,0.05083423,0.109602615
