drug,n_targets,n_lines,rho,null_mean,z,moa-fine
Relugolix,1,48,0.2405557967867998,-0.05948219713417282,1.996013337947633,unclear
Resveratrol,1,48,-0.004342162396873643,0.05951747720364742,-0.4665521444546033,unclear
Retinoic acid,4,48,-0.026378636561007383,-0.020386452453321754,-0.03501032463359081,Retinoic receptor agonist
Ribociclib,2,48,-0.18519322622666087,0.055734368215371255,-1.7627670297158737,CDK inhibitor
Rimonabant,1,48,-0.12668258792878853,-0.05582029147793903,-0.466797958179604,unclear
Rimonabant (Hydrochloride),1,48,0.006947459834997829,-0.06544458620064778,0.42995127428282554,unclear
Rosiglitazone,3,48,-0.26660877116804166,0.003395028224055579,-1.622452399477974,unclear
Rucaparib (phosphate),3,48,0.04342162396873643,0.0408841728180634,0.014900599423098673,DNA synthesis/repair inhibitor
Sacubitril/Valsartan,1,48,0.01888840642640035,-0.0039025184541901874,0.1317564905837271,unclear
Sapanisertib,1,48,0.049174989144594006,0.06050260529743812,-0.07747713423094858,MTOR inhibitor
Selinexor,1,48,0.16977854971775944,0.007305688232739896,0.9488285701430464,unclear
Sildenafil,1,48,-0.10811984368215373,0.04216239687364308,-0.9976170104025018,unclear
Silodosin,3,47,-0.26329787234042556,-0.03508036540240518,-1.7507632349410862,unclear
Simotinib,1,47,-0.03896854764107308,-0.03442125346901017,-0.029887914940232924,EGFR/ERBB inhibitor
Sinomenine,1,48,-0.01020408163265306,-0.04057750759878419,0.19684675165887164,unclear
Sivelestat (sodium tetrahydrate),1,48,-0.08391228831958317,-0.057072359535218165,-0.172937093818395,unclear
Sodium Salicylate,1,48,-0.017477203647416412,0.0718275075987842,-0.6023627314473735,Cyclooxygenase inhibitor
Sonidegib,1,48,0.13384715588363005,-0.0047085323491098535,0.9128049464537612,Sonic inhibitor
Sulfatinib,5,48,0.12060356057316543,-0.11219333478072077,1.5780691215922678,Multi-TK inhibitor
Sulfisoxazole,2,48,0.14470256187581415,-0.04388840642640034,1.265438619878342,unclear
Sunitinib,2,48,0.15968302214502822,-0.01804168475900998,0.9825857120448077,Multi-TK inhibitor
TAK-733,1,48,0.025401650021710815,0.008187689969604861,0.11554025193371942,MEK inhibitor
TAK-901,1,48,0.011832392531480676,0.009889274858879719,0.012201731312577442,unclear
Tadalafil,1,48,-0.13471558836300476,0.010385909683022146,-1.0177776077171394,unclear
Tazarotene,3,48,0.0803300043421624,-0.02797980894485453,0.6260376131104961,Retinoic receptor agonist
Temsirolimus,1,48,0.017042987407729047,0.026709726443769,-0.07283989981602336,MTOR inhibitor
Terfenadine,1,48,-0.05243161094224924,0.016882870169344335,-0.3839736699724694,unclear
Thymol,1,48,-0.0028224055579678677,-0.015696917064698217,0.07010336851930155,unclear
Tirabrutinib,1,48,0.037993920972644375,-0.016358665826200977,0.3302875386008562,Other TK inhibitor
Tirabrutinib (hydrochloride),1,48,0.04418150238818931,-0.06486758520259457,0.6881361916071461,Other TK inhibitor
Tofacitinib,3,48,0.017477203647416412,-0.0087440295267043,0.17172860827042857,JAK/STAT inhibitor
Tofacitinib (citrate),3,48,0.018128528006947458,-0.02796081198436821,0.27731866176345954,JAK/STAT inhibitor
Tolcapone,1,48,0.14415979157620495,0.0047709509335649184,0.8879144344881471,unclear
Tolmetin,2,48,-0.12722535822839773,0.0698409683022145,-1.3724629773158237,Cyclooxygenase inhibitor
Topotecan (hydrochloride),1,48,0.04874077290490664,0.0002496743378202354,0.3336320046482472,DNA synthesis/repair inhibitor
Torkinib,13,48,0.16760746851932265,-0.1087793095961789,1.4132873094809097,MTOR inhibitor
Trametinib,2,48,0.10746851932262266,0.010364198871037778,0.6180752008988101,MEK inhibitor
Trametinib (DMSO_TF solvate),2,48,0.13666956144159792,0.04522633521493704,0.6175839239004886,MEK inhibitor
Tranilast,2,48,0.09921841076856275,-0.015265414676508899,0.689605829608057,unclear
Triamcinolone,1,48,0.2808293530178029,0.03809976118106817,1.4504804969457101,Glucocorticoid receptor agonist
Trimetrexate,1,48,-0.013135041250542769,0.026622883195831514,-0.26598214333333836,DNA synthesis/repair inhibitor
Tucatinib,1,48,-0.1265740338688667,0.05736539296569691,-1.2386103982051564,EGFR/ERBB inhibitor
Tucidinostat,6,48,0.07837603126356926,-0.025412505427702996,0.5719091592048468,HDAC inhibitor
ULK-101,2,48,0.010095527572731218,0.07427268779852367,-0.3187975317544887,unclear
Valdecoxib,1,48,0.052974381241858444,0.030663808076422057,0.13799202753487252,Cyclooxygenase inhibitor
Vandetanib,2,48,-0.04168475900998697,-0.06400618758141555,0.16624159109196154,Multi-TK inhibitor
Vemurafenib,1,48,0.3325010855405992,0.03769539730785932,2.248197765012446,RAF inhibitor
Verapamil,2,48,-0.050694745983499774,-0.09410280069474597,0.26461718236199944,unclear
Verteporfin,1,48,0.17509769865392966,0.02445451584889275,0.9462633902320928,unclear
Vilanterol,1,48,-0.0734910985670864,-0.007704624402952674,-0.3640637985279948,Adrenoceptor agonist
Vismodegib,3,48,0.08608336951801997,-0.05522145028224055,0.9332091974281663,Sonic inhibitor
Volasertib,3,48,-0.1440512375162831,0.0009118541033434589,-0.8064453693251271,unclear
Vortioxetine,3,48,0.2372991749891446,-0.06412831089882762,1.8830043407736117,unclear
Zileuton,1,48,-0.1118106817194963,-0.014641228831958314,-0.46457151649319933,unclear
c-Kit-IN-1,5,48,0.2092922275293096,-0.09512320885801129,1.7801602182339213,Multi-TK inhibitor
crizotinib,3,48,0.008141554494138082,-0.053951367781155016,0.35288762148613023,Multi-TK inhibitor
olaparib,2,48,0.09878419452887537,0.051853560573165446,0.3185920303153697,DNA synthesis/repair inhibitor
palbociclib,2,47,-0.17449121184088806,0.029301572617946352,-1.2386571252824234,CDK inhibitor
venetoclax,1,48,0.29135909683022143,0.01641608771168042,1.7304374852146096,unclear
