drug,cdi,moa,n_targets,target_mut_freq,target_expr_var,target_expr_mean
OTS514,0.1252359657107215,,1,0.0,0.06496352535801385,4.23354226905345
Penfluridol,0.1246763628496313,,1,0.0,0.5503783641662904,2.1744606721006594
TAK-901,0.1246010904856461,,1,0.0,0.10380547888929184,3.975699572036374
NG25,0.1234293555378147,,12,0.006666666666666667,0.03903511617586088,4.3628407384716725
NVP-BHG712,0.1233944100621006,,1,0.0,0.06336709714916383,3.998648076707253
Tirabrutinib,0.1220522316900612,,1,0.0,0.328902560719064,1.601383671430675
Infigratinib,0.1217893359270172,,4,0.02,0.4008310039439169,3.5359075298986733
Imiquimod (hydrochloride),0.1195990180080533,,1,0.0,0.19898965943182786,0.7296653071064622
Auranofin,0.1195036352725692,,2,0.0,0.030623510811152645,4.351336439125226
Niclosamide (olamine),0.1187741875749889,,1,0.0,0.011017243421085525,4.6793727708925195
Dabrafenib,0.1186480858766271,,2,0.11,0.008707416316716628,4.606277423948425
Cinacalcet,0.1182281302657723,,1,0.0,0.2572864968288027,1.3255976284401327
AZD2858,0.118005336496399,,2,0.0,0.008151101292409134,4.3857910035511045
olaparib,0.1176045188167349,,2,0.0,0.015370911685586788,4.266040391333657
Doxycycline (monohydrate),0.1151961285298873,,5,0.0,0.5197759088713672,2.4982648039555677
Fingolimod (hydrochloride),0.1129813560067931,,1,0.0,0.016640928519733166,4.462588596195499
Procainamide (hydrochloride),0.1124439459847722,,1,0.0,0.010723194807914007,4.430198102302131
ML264,0.1112372484338628,,1,0.0,0.08327445208062441,4.4436390125456855
Methotrexate,0.1105414684621495,,1,0.0,0.0032197503390806303,4.346988212980816
Ataluren,0.1103544681943699,,1,0.0,0.1967698467136777,3.083818502896089
Pemetrexed,0.1082069553711803,,3,0.0,0.015975635405219065,4.325726956729986
Sapanisertib,0.1077038456518399,,1,0.04,0.009394665625205188,4.306759566709168
Mozavaptan,0.1070793454231054,,1,0.0,0.39969848785215384,0.7470757609241234
Gefitinib,0.1068019000212754,,1,0.08,0.03938794441741245,4.73702816613291
Pentamidine (isethionate),0.1046988256054055,,1,0.0,0.2899920639154445,2.89342679519537
Bosentan (hydrate),0.1001508223832822,,2,0.0,0.7044828817813176,2.410371618113935
Ferulic acid,0.0995511287628564,,2,0.02,0.07812842819114135,4.1867159149683015
Ipatasertib,0.0994013186139013,,3,0.006666666666666667,0.04578547971092898,4.279567250466568
Meloxicam,0.0991717204122992,,2,0.0,0.31638818919110934,3.6003058728616613
Mifepristone,0.0986351154164989,,2,0.0,0.27298428084054904,3.3261910625940585
Silodosin,0.0981839797125569,,3,0.0,0.40961037203323114,2.1851414929826474
Hydroxyurea,0.0977247285911471,,2,0.0,0.017885406929042304,4.407770457887032
Rosiglitazone,0.0976796362315429,,3,0.0,0.13820479339143,3.3783922921743694
Bestatin,0.0972921209466937,,1,0.0,0.48570288041605536,3.187575685381505
Decitabine,0.0953438621932896,,3,0.0,0.05438524952888344,4.1512005680848585
