component,n_cancer_types,stouffer_z,p,q
C1,31,3.494904193084615,0.0004742319518140815,0.0028453917108844894
C2,31,0.6292201573139444,0.5292049340560172,0.6350459208672207
C5,31,-2.239187166806334,0.025143740498019235,0.05028748099603847
C6,31,0.45926018086020015,0.6460473386341267,0.6460473386341267
C7,31,-3.115403990676144,0.0018369313659783873,0.005510794097935162
C10,31,1.0799600810947143,0.28015995672858207,0.4202399350928731
