component,adjusted_z,unadjusted_z,adjusted_p,unadjusted_p
C1,1.5137717787795641,-0.05979624231596223,0.13008373262639683,0.9523179184209121
C10,2.3201363268818707,0.33774254269346216,0.02033350373743523,0.735557212202341
C2,-0.49232490065660967,-1.7150854556824027,0.6224896798174995,0.08632956049000938
C5,0.7608575042187611,-2.0589552416371073,0.44674218322539117,0.03949852636774215
C6,-1.008486282211544,3.62663060997486,0.31322106994593235,0.00028714360787498707
C7,-0.6354457287216424,-2.18783518507836,0.5251377518244562,0.02868160992216324
