,lincs,tahoe
cdk inhibitor,0.2376835738628043,0.20040849826401858
dna methyltransferase inhibitor,0.3932807090036925,0.15644495359496097
hdac inhibitor,0.2933591693193312,0.23009472094569985
mek inhibitor,0.5606629969430237,0.3235994410057987
mtor inhibitor,0.2986524539653639,0.229824386733979
raf inhibitor,0.5881659657070738,0.1186480858766271
