component,coherence,null_mean,null_sd,z
C1,0.10178540468329043,0.10243453731111558,0.0036808138859546866,-0.17635568425408205
C2,0.09579549212010542,0.09880175587483592,0.0037461505677353424,-0.8024938928319628
C5,0.09925057348271264,0.10053635155985638,0.005038006579319796,-0.2552155900720847
C6,0.09830622047251915,0.09949704764645381,0.004058823826727862,-0.29339210849724773
C7,0.09634890549708859,0.10024388097539239,0.004723547315817138,-0.8245867762718107
C10,0.10076755363194562,0.09811331211264851,0.004232603130393071,0.6270942043074116
