test,kind,r
within_line_across_drug,cross_plate,-0.0031661477
within_line_across_drug,cross_plate,0.0068373135
within_line_across_drug,cross_plate,0.038514808
within_line_across_drug,cross_plate,-0.002430644
within_line_across_drug,cross_plate,0.039671052
within_line_across_drug,cross_plate,-0.028912356
within_line_across_drug,cross_plate,0.06780916
within_line_across_drug,cross_plate,0.04508026
within_line_across_drug,cross_plate,0.0813868
within_line_across_drug,cross_plate,0.082017265
within_line_across_drug,cross_plate,0.037943542
within_line_across_drug,cross_plate,-0.04686545
within_line_across_drug,cross_plate,0.022861397
within_line_across_drug,cross_plate,0.019720135
within_line_across_drug,cross_plate,0.04372818
within_line_across_drug,cross_plate,-0.0020941335
within_line_across_drug,cross_plate,0.01954141
within_line_across_drug,cross_plate,0.024903169
within_line_across_drug,cross_plate,-0.010511828
within_line_across_drug,cross_plate,0.04523079
within_line_across_drug,cross_plate,0.022704763
within_line_across_drug,cross_plate,0.004496641
within_line_across_drug,cross_plate,0.02598101
within_line_across_drug,cross_plate,0.027394319
within_line_across_drug,cross_plate,0.021375608
within_line_across_drug,cross_plate,0.023120832
within_line_across_drug,cross_plate,-0.026751269
within_line_across_drug,cross_plate,0.021393484
within_line_across_drug,cross_plate,-0.030564481
within_line_across_drug,cross_plate,6.144139e-05
within_line_across_drug,cross_plate,-0.005067372
within_line_across_drug,cross_plate,-0.034110874
within_line_across_drug,cross_plate,0.025584072
within_line_across_drug,cross_plate,-0.0026685689
within_line_across_drug,cross_plate,0.020255998
within_line_across_drug,cross_plate,0.046918284
within_line_across_drug,cross_plate,-0.0025471991
within_line_across_drug,cross_plate,-0.04358294
within_line_across_drug,cross_plate,-0.01291831
within_line_across_drug,cross_plate,0.0064750337
within_line_across_drug,cross_plate,0.010534888
within_line_across_drug,cross_plate,0.017622067
within_line_across_drug,cross_plate,0.042467013
within_line_across_drug,cross_plate,0.0032021108
within_line_across_drug,cross_plate,-0.016527476
within_line_across_drug,cross_plate,0.037905566
within_line_across_drug,cross_plate,-0.0028501782
within_line_across_drug,cross_plate,0.034942172
within_line_across_drug,cross_plate,0.010748144
within_line_across_drug,cross_plate,0.0028357152
within_line_across_drug,cross_plate,0.15564881
within_line_across_drug,cross_plate,-0.09475468
within_line_across_drug,cross_plate,0.010613764
within_line_across_drug,cross_plate,0.05006163
within_line_across_drug,cross_plate,0.15855248
within_line_across_drug,cross_plate,-0.047519337
within_line_across_drug,cross_plate,-0.037237275
within_line_across_drug,cross_plate,-0.025862476
within_line_across_drug,cross_plate,-0.11794637
within_line_across_drug,cross_plate,0.04134761
within_line_across_drug,cross_plate,0.028861495
within_line_across_drug,cross_plate,-0.006139348
within_line_across_drug,cross_plate,0.10276341
within_line_across_drug,cross_plate,-0.005556533
within_line_across_drug,cross_plate,-0.012726366
within_line_across_drug,cross_plate,-0.044588704
within_line_across_drug,cross_plate,0.042048275
within_line_across_drug,cross_plate,0.039444007
within_line_across_drug,cross_plate,0.034087535
within_line_across_drug,cross_plate,-0.1048445
within_line_across_drug,cross_plate,0.028658556
within_line_across_drug,cross_plate,0.052639596
within_line_across_drug,cross_plate,-0.042012513
within_line_across_drug,cross_plate,0.031837326
within_line_across_drug,cross_plate,-0.009748634
within_line_across_drug,cross_plate,0.09616382
within_line_across_drug,cross_plate,-0.041252628
within_line_across_drug,cross_plate,0.16717774
within_line_across_drug,cross_plate,0.1241409
within_line_across_drug,cross_plate,-0.20400506
within_line_across_drug,cross_plate,0.08536972
within_line_across_drug,cross_plate,0.013917522
within_line_across_drug,cross_plate,0.031397622
within_line_across_drug,cross_plate,0.026545648
within_line_across_drug,cross_plate,0.07485389
within_line_across_drug,cross_plate,0.024314972
within_line_across_drug,cross_plate,0.080832385
within_line_across_drug,cross_plate,0.11463742
within_line_across_drug,cross_plate,0.050200555
within_line_across_drug,cross_plate,-0.0009864822
within_line_across_drug,cross_plate,0.0078741005
within_line_across_drug,cross_plate,0.010314491
within_line_across_drug,cross_plate,-0.04491846
within_line_across_drug,cross_plate,-0.0248635
within_line_across_drug,cross_plate,0.027093975
within_line_across_drug,cross_plate,0.071138926
within_line_across_drug,cross_plate,-0.016482435
within_line_across_drug,cross_plate,0.00064376247
within_line_across_drug,cross_plate,0.011807516
within_line_across_drug,cross_plate,0.027321942
within_line_across_drug,cross_plate,0.015348644
within_line_across_drug,cross_plate,0.006767598
within_line_across_drug,cross_plate,-0.025219176
within_line_across_drug,cross_plate,0.004060321
within_line_across_drug,cross_plate,-0.02431581
within_line_across_drug,cross_plate,0.009054186
within_line_across_drug,cross_plate,0.006710071
within_line_across_drug,cross_plate,0.016119044
within_line_across_drug,cross_plate,0.022695228
within_line_across_drug,cross_plate,0.008063126
within_line_across_drug,cross_plate,0.024624612
within_line_across_drug,cross_plate,0.05107468
within_line_across_drug,cross_plate,0.00662573
within_line_across_drug,cross_plate,0.019238727
within_line_across_drug,cross_plate,0.041100074
within_line_across_drug,cross_plate,0.024693036
within_line_across_drug,cross_plate,-0.008196016
within_line_across_drug,cross_plate,-0.0029894265
within_line_across_drug,cross_plate,0.107501924
within_line_across_drug,cross_plate,0.032187454
within_line_across_drug,cross_plate,-0.010410964
within_line_across_drug,cross_plate,0.00041474117
within_line_across_drug,cross_plate,0.045663413
within_line_across_drug,cross_plate,-0.034125973
within_line_across_drug,cross_plate,-0.02175071
within_line_across_drug,cross_plate,0.11298586
within_line_across_drug,cross_plate,0.08249034
within_line_across_drug,cross_plate,0.15531898
within_line_across_drug,cross_plate,-0.077068456
within_line_across_drug,cross_plate,0.08910465
within_line_across_drug,cross_plate,0.0945639
within_line_across_drug,cross_plate,-0.031698998
within_line_across_drug,cross_plate,0.023267765
within_line_across_drug,cross_plate,-0.01635273
within_line_across_drug,cross_plate,0.08142375
within_line_across_drug,cross_plate,0.03851673
within_line_across_drug,cross_plate,0.021036983
within_line_across_drug,cross_plate,0.061579388
within_line_across_drug,cross_plate,-0.049099986
within_line_across_drug,cross_plate,0.115345076
within_line_across_drug,cross_plate,-0.013599708
within_line_across_drug,cross_plate,0.054129276
within_line_across_drug,cross_plate,-0.024431564
within_line_across_drug,cross_plate,0.20629321
within_line_across_drug,cross_plate,0.013808651
within_line_across_drug,cross_plate,0.16493295
within_line_across_drug,cross_plate,0.020745099
within_line_across_drug,cross_plate,0.12151642
within_line_across_drug,cross_plate,-0.026575794
within_line_across_drug,cross_plate,-0.05648967
within_line_across_drug,cross_plate,0.2348994
within_line_across_drug,cross_plate,-0.009277704
within_line_across_drug,cross_plate,0.032384258
within_line_across_drug,cross_plate,0.00028101384
within_line_across_drug,cross_plate,0.03749596
within_line_across_drug,cross_plate,0.035894565
within_line_across_drug,cross_plate,-0.055117976
within_line_across_drug,cross_plate,0.033075403
within_line_across_drug,cross_plate,0.010743135
within_line_across_drug,cross_plate,0.046203043
within_line_across_drug,cross_plate,0.14300054
within_line_across_drug,cross_plate,-0.0075644064
within_line_across_drug,cross_plate,0.007569592
within_line_across_drug,cross_plate,0.041241765
