perturbation,n_contexts,n_pairs,shared,context_specific,index,estimable,pert_iname,key,moa-fine
BRD-K94335714,19,2484,0.08588800206780434,0.03565606719447291,0.2933591693193312,True,MC1568,mc1568,HDAC inhibitor
BRD-K12184916,16,6930,0.9020963407614652,0.3729230300674886,0.2924842073772046,True,NVP-BEZ235,nvpbez235,mTOR inhibitor|PI3K inhibitor
BRD-K91900765,19,2460,0.09039311329495973,0.03682492950880159,0.28946310363857314,True,VX-745,vx745,p38 MAPK inhibitor
BRD-K66989831,19,2425,0.08819158851680621,0.03588612415387653,0.28922296665092984,True,anacardic-acid,anacardicacid,
BRD-K17743125,21,5170,1.8854717505872853,0.7668081084212854,0.2891128196056657,True,belinostat,belinostat,HDAC inhibitor
BRD-K21680192,29,26785,1.4851147729430707,0.6018742449018195,0.2883935850909936,True,mitoxantrone,mitoxantrone,topoisomerase inhibitor
BRD-K49075727,17,7897,0.19422102938354238,0.07791712331190899,0.2863145888959778,True,nintedanib,nintedanib,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor
BRD-K20285085,17,7588,0.09920467534903543,0.03979485541911072,0.2862948903438336,True,fostamatinib,fostamatinib,SYK inhibitor
BRD-K76969307,19,2460,0.09603217712411001,0.03840876964614296,0.2856924959906743,True,CG-930,cg930,
BRD-K24859147,19,2436,0.08303854936796627,0.03296723809093571,0.28418614978683887,True,KIN001-242,kin001242,
BRD-K13662825,23,2990,5.73174942656226,2.2464098108371715,0.28156993912914347,True,dinaciclib,dinaciclib,CDK inhibitor
BRD-K93918653,24,4866,0.11866807340438129,0.04637937715246204,0.28100632270286846,True,quizartinib,quizartinib,FLT3 inhibitor
BRD-K81418486,22,7320,1.7895253594630842,0.6983856219402855,0.2807116601681397,True,vorinostat,vorinostat,HDAC inhibitor
BRD-K32847255,19,2460,0.08380840897726613,0.032618042999796655,0.28016007055014225,True,GSK-J1,gskj1,histone demethylase inhibitor
BRD-K79090631,27,44490,3.932085988773852,1.5164772990777262,0.2783260868895382,True,CGP-60474,cgp60474,CDK inhibitor
BRD-K81528515,16,6990,0.17346997753501187,0.06683874771138218,0.27813699915744167,True,nilotinib,nilotinib,Abl kinase inhibitor|Bcr-Abl kinase inhibitor
BRD-K29983336,19,2460,0.09871166857094738,0.037752928294805047,0.27664998220706755,True,rondual-kinase-inhibitor,rondualkinaseinhibitor,
BRD-U24835547,19,2472,0.11194321554683377,0.04246899595491531,0.275036511308785,True,GSK-1059615,gsk1059615,PI3K inhibitor
BRD-K58772419,13,3976,0.11584224985802875,0.04340951788560512,0.2725842136677973,True,AZD-6482,azd6482,PI3K inhibitor
BRD-U60236422,13,4023,0.37392378218275363,0.13938042090607214,0.27153570936560745,True,WH-4-025,wh4025,
BRD-K68065987,17,7728,0.2630982053958988,0.09729129579933765,0.2699615151847371,True,MK-2206,mk2206,AKT inhibitor
BRD-K80700417,24,4542,0.26080766219029744,0.09571050603761079,0.2684589862933066,True,SGI-1776,sgi1776,Pim kinase inhibitor
BRD-K87737963,16,6910,0.22614130178564473,0.08216000323036615,0.2664925574223546,True,CYT387,cyt387,JAK inhibitor
BRD-K79404599,15,6565,0.139836826025796,0.050588249840356654,0.26565960186837206,True,enzastaurin,enzastaurin,PKC inhibitor
BRD-U51024685,15,4530,0.286259372319494,0.10330897069475083,0.26518831046539443,True,HG-6-64-01,hg66401,
BRD-K68756823,22,2556,0.08840867504477501,0.03182341230488636,0.264683189042014,True,FR-180204,fr180204,MAP kinase inhibitor
BRD-K63923597,13,3808,0.09964426867886932,0.03514996653269939,0.26076758013819457,True,barasertib-HQPA,barasertibhqpa,Aurora kinase inhibitor
BRD-A01645196,19,2439,0.11155221925190326,0.038761807509039514,0.25787219159982805,True,garcinol,garcinol,
BRD-K42918627,15,4846,0.9634386519394299,0.3328818009553169,0.2567897468654264,True,GSK-2126458,gsk2126458,mTOR inhibitor|PI3K inhibitor
BRD-K03449891,15,6334,0.5516226374331796,0.1904992142124478,0.25669533081396667,True,foretinib,foretinib,VEGFR inhibitor
