cell_name,Bladder,Kidney,Large_Intestine,Liver,Lung,Mammary,Neural,Ovary,Pancreas,Skin,Stomach,Uterus
J82,-0.7847735982034767,0.5936748259501144,-0.9616718676496383,-0.267827806057159,-0.6083812338369208,-0.26720934175633493,-0.3242843755767403,-0.3103859070154808,-0.5328379066722639,-0.14753657394623812,-0.8595632757367366,-0.5819130671184276
RKO,0.04367779423583428,1.2362889669535526,0.11706883339698766,-0.304577035700605,0.3863039107732631,1.006459034298519,0.7231887063250259,1.0141733773307864,-0.043121938290921966,0.7808137188903969,0.35842463100321975,0.5212502898906091
SW48,1.3760992048285277,-0.3564227223585809,1.4126205488314083,0.3910941095864533,1.4010041920506324,1.199058649358046,0.2628890660256331,1.499677425286087,0.643418979254318,0.8508080258343197,1.3714590305291832,1.5315839250073295
SW1417,1.520663434191127,0.12327097961688034,1.5636312964921237,0.8299319525202565,1.132391346043154,1.1907085878075407,-0.41511154429324154,1.0846604847267722,1.028975242031972,0.9821048684395325,1.3128235435658138,1.7332937265347812
LoVo,1.528609390939895,-0.7666520488747212,2.0898859700279653,0.4487344429043613,1.347901005899944,0.8562776108989893,-0.37507422707371446,0.5900941862159551,0.8552377632376679,0.7645191182237886,1.6446292188627296,1.2086970385621467
LS 180,1.747223450423213,-0.5367490508481921,2.341751548177951,0.5520628324138501,1.4121050693453892,0.7559497565395595,-0.6140088086494392,0.3809625511024622,0.8860357711069103,0.7389417447354846,1.8938098760985698,0.9936407946483238
COLO 205,1.0520074961343606,-2.46124772942544,1.5757436452590383,-0.13251888598113845,0.5600032604766054,-0.2826341218986239,-2.0187792573161993,-1.7609696686003413,-0.8177117539610195,-0.6110202331761361,1.3404342967531555,0.07041526343433976
HCT15,1.1378233617242066,0.767260299588492,1.4280363067717334,1.247459806145083,1.5246802227045244,1.2911663232871506,0.8572985894033269,1.5362451372571346,1.7212576870537857,1.0827720376063978,1.3853979281768354,1.43598171958301
SW480,0.35377205514175014,0.8563113728168312,0.711594254336971,0.08099443595556263,0.9000156172286018,0.5293699917926925,0.6096061366782678,0.8654148999243056,0.6286819138178207,-0.17422081446252427,0.7628068842555914,0.9060355919429725
HT-29,2.215212234234068,-0.6112895292438585,2.231039764950303,1.5317155726598937,1.5102434626144225,1.0685830219031218,-0.9547920461038801,1.1029965519768432,1.1348150884107484,1.1975899623003432,1.9336079616777377,1.4099091461816293
BT-474,1.2501244422559934,-0.722764926338334,0.9959209813386978,0.5193143961456754,1.2719917441896673,2.0816479036809876,-0.2211243583101726,0.8825022626844888,0.7650250212009206,1.5449710282048024,1.0151244690197032,1.2735624188725752
HS-578T,-0.3319788699084712,-0.32313838617288354,-0.4626733234275618,0.8679302842948226,-0.625502566197669,0.14017281509145163,-0.3690089899735902,0.10121045603099564,0.6116471874146076,1.0207668290107819,-0.9162467437237524,-0.38313057818200025
H4,-0.44956821854165785,-0.01602947681525385,-0.6220440495794023,0.19532887892195733,-1.1136781332372427,-0.5768982272380339,-0.18924794982857265,0.01259708938830636,0.4308319881918813,0.07946348229130897,-1.212862794715655,-1.1034826744082082
A-172,-1.0319363732731481,0.5560433535186697,-1.197052424807704,-0.7760563321154684,-1.5207538974675985,-1.439000532650061,-0.10585768882910086,-0.8865188387496814,-1.4225382841589822,-1.0438864007656616,-1.325016977915657,-1.464759985909016
SW 1088,-0.5651247812547104,-0.3379400865352103,-0.5067965133509548,0.27212559572645506,-0.7637220698778906,-0.2789227853653452,-0.2792814025482362,-0.09343689861167558,0.6206796602617746,0.591870747548053,-0.945735654727284,-0.586614929419194
