k,mean,median,std,size
5,0.6124353228377647,0.6490687727928162,0.1436528982564221,147
10,0.6441931529920928,0.6897425353527069,0.1429364592978309,147
20,0.6570164038210499,0.7093705534934998,0.1413411679870806,147
45,0.6654890540505753,0.7177493870258331,0.14211355602389905,147
